,County,County Code,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,State_Code,County_Name
236,"El Dorado County, CA",6017.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,CA,El Dorado County
239,"Fresno County, CA",6019.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,66.0,CA,Fresno County
240,"Fresno County, CA",6019.0,2003,All other drug-induced causes,D9,18.0,CA,Fresno County
244,"Humboldt County, CA",6023.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,CA,Humboldt County
250,"Kern County, CA",6029.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,79.0,CA,Kern County
251,"Kern County, CA",6029.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,CA,Kern County
252,"Kern County, CA",6029.0,2003,All other drug-induced causes,D9,13.0,CA,Kern County
260,"Los Angeles County, CA",6037.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,616.0,CA,Los Angeles County
261,"Los Angeles County, CA",6037.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,93.0,CA,Los Angeles County
262,"Los Angeles County, CA",6037.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0,CA,Los Angeles County
263,"Los Angeles County, CA",6037.0,2003,All other drug-induced causes,D9,132.0,CA,Los Angeles County
266,"Madera County, CA",6039.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,CA,Madera County
269,"Marin County, CA",6041.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19.0,CA,Marin County
273,"Mendocino County, CA",6045.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,CA,Mendocino County
276,"Merced County, CA",6047.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,CA,Merced County
281,"Monterey County, CA",6053.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,CA,Monterey County
284,"Napa County, CA",6055.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,CA,Napa County
289,"Orange County, CA",6059.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,152.0,CA,Orange County
290,"Orange County, CA",6059.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,50.0,CA,Orange County
291,"Orange County, CA",6059.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16.0,CA,Orange County
292,"Orange County, CA",6059.0,2003,All other drug-induced causes,D9,10.0,CA,Orange County
295,"Placer County, CA",6061.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,CA,Placer County
299,"Riverside County, CA",6065.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,128.0,CA,Riverside County
300,"Riverside County, CA",6065.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,22.0,CA,Riverside County
301,"Riverside County, CA",6065.0,2003,All other drug-induced causes,D9,24.0,CA,Riverside County
304,"Sacramento County, CA",6067.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,111.0,CA,Sacramento County
305,"Sacramento County, CA",6067.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,37.0,CA,Sacramento County
306,"Sacramento County, CA",6067.0,2003,All other drug-induced causes,D9,20.0,CA,Sacramento County
310,"San Bernardino County, CA",6071.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0,CA,San Bernardino County
311,"San Bernardino County, CA",6071.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,24.0,CA,San Bernardino County
312,"San Bernardino County, CA",6071.0,2003,All other drug-induced causes,D9,103.0,CA,San Bernardino County
315,"San Diego County, CA",6073.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,222.0,CA,San Diego County
316,"San Diego County, CA",6073.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,65.0,CA,San Diego County
317,"San Diego County, CA",6073.0,2003,All other drug-induced causes,D9,18.0,CA,San Diego County
320,"San Francisco County, CA",6075.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0,CA,San Francisco County
321,"San Francisco County, CA",6075.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0,CA,San Francisco County
322,"San Francisco County, CA",6075.0,2003,All other drug-induced causes,D9,33.0,CA,San Francisco County
325,"San Joaquin County, CA",6077.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,CA,San Joaquin County
326,"San Joaquin County, CA",6077.0,2003,All other drug-induced causes,D9,22.0,CA,San Joaquin County
329,"San Luis Obispo County, CA",6079.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,CA,San Luis Obispo County
332,"San Mateo County, CA",6081.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,CA,San Mateo County
333,"San Mateo County, CA",6081.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,CA,San Mateo County
336,"Santa Barbara County, CA",6083.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,CA,Santa Barbara County
337,"Santa Barbara County, CA",6083.0,2003,All other drug-induced causes,D9,12.0,CA,Santa Barbara County
340,"Santa Clara County, CA",6085.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0,CA,Santa Clara County
341,"Santa Clara County, CA",6085.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0,CA,Santa Clara County
344,"Santa Cruz County, CA",6087.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,CA,Santa Cruz County
345,"Santa Cruz County, CA",6087.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,CA,Santa Cruz County
346,"Santa Cruz County, CA",6087.0,2003,All other drug-induced causes,D9,10.0,CA,Santa Cruz County
349,"Shasta County, CA",6089.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,CA,Shasta County
354,"Solano County, CA",6095.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,CA,Solano County
357,"Sonoma County, CA",6097.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,CA,Sonoma County
360,"Stanislaus County, CA",6099.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,67.0,CA,Stanislaus County
361,"Stanislaus County, CA",6099.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,15.0,CA,Stanislaus County
367,"Tulare County, CA",6107.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,CA,Tulare County
371,"Ventura County, CA",6111.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,73.0,CA,Ventura County
372,"Ventura County, CA",6111.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,CA,Ventura County
378,"Adams County, CO",8001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,CO,Adams County
379,"Adams County, CO",8001.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,CO,Adams County
383,"Arapahoe County, CO",8005.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,CO,Arapahoe County
384,"Arapahoe County, CO",8005.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,CO,Arapahoe County
390,"Boulder County, CO",8013.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,CO,Boulder County
402,"Denver County, CO",8031.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,97.0,CO,Denver County
403,"Denver County, CO",8031.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,CO,Denver County
410,"El Paso County, CO",8041.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,CO,El Paso County
411,"El Paso County, CO",8041.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,CO,El Paso County
420,"Jefferson County, CO",8059.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,CO,Jefferson County
421,"Jefferson County, CO",8059.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,CO,Jefferson County
422,"Jefferson County, CO",8059.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,CO,Jefferson County
429,"Larimer County, CO",8069.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,CO,Larimer County
430,"Larimer County, CO",8069.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,CO,Larimer County
448,"Pueblo County, CO",8101.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,CO,Pueblo County
460,"Weld County, CO",8123.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,CO,Weld County
464,"Fairfield County, CT",9001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0,CT,Fairfield County
465,"Fairfield County, CT",9001.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,CT,Fairfield County
468,"Hartford County, CT",9003.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,65.0,CT,Hartford County
469,"Hartford County, CT",9003.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,CT,Hartford County
470,"Hartford County, CT",9003.0,2003,All other drug-induced causes,D9,11.0,CT,Hartford County
473,"Litchfield County, CT",9005.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,CT,Litchfield County
477,"New Haven County, CT",9009.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,70.0,CT,New Haven County
478,"New Haven County, CT",9009.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,CT,New Haven County
481,"New London County, CT",9011.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,CT,New London County
482,"New London County, CT",9011.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,CT,New London County
486,"Windham County, CT",9015.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,CT,Windham County
488,"Kent County, DE",10001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,DE,Kent County
490,"New Castle County, DE",10003.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,DE,New Castle County
491,"New Castle County, DE",10003.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,DE,New Castle County
496,"District of Columbia, DC",11001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,90.0,DC,District of Columbia
497,"District of Columbia, DC",11001.0,2003,All other drug-induced causes,D9,16.0,DC,District of Columbia
500,"Alachua County, FL",12001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,FL,Alachua County
504,"Bay County, FL",12005.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,FL,Bay County
508,"Brevard County, FL",12009.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0,FL,Brevard County
509,"Brevard County, FL",12009.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,FL,Brevard County
512,"Broward County, FL",12011.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,170.0,FL,Broward County
513,"Broward County, FL",12011.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,60.0,FL,Broward County
519,"Citrus County, FL",12017.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,FL,Citrus County
522,"Clay County, FL",12019.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,FL,Clay County
524,"Collier County, FL",12021.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,FL,Collier County
530,"Duval County, FL",12031.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,107.0,FL,Duval County
531,"Duval County, FL",12031.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,FL,Duval County
534,"Escambia County, FL",12033.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,FL,Escambia County
546,"Hernando County, FL",12053.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,FL,Hernando County
548,"Highlands County, FL",12055.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL,Highlands County
551,"Hillsborough County, FL",12057.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,114.0,FL,Hillsborough County
552,"Hillsborough County, FL",12057.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,FL,Hillsborough County
553,"Hillsborough County, FL",12057.0,2003,All other drug-induced causes,D9,12.0,FL,Hillsborough County
557,"Indian River County, FL",12061.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL,Indian River County
562,"Lake County, FL",12069.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL,Lake County
565,"Lee County, FL",12071.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,FL,Lee County
566,"Lee County, FL",12071.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,FL,Lee County
569,"Leon County, FL",12073.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,FL,Leon County
575,"Manatee County, FL",12081.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,FL,Manatee County
578,"Marion County, FL",12083.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,FL,Marion County
579,"Marion County, FL",12083.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,FL,Marion County
582,"Martin County, FL",12085.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,FL,Martin County
585,"Miami-Dade County, FL",12086.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0,FL,Miami-Dade County
586,"Miami-Dade County, FL",12086.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,FL,Miami-Dade County
587,"Miami-Dade County, FL",12086.0,2003,All other drug-induced causes,D9,17.0,FL,Miami-Dade County
590,"Monroe County, FL",12087.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL,Monroe County
594,"Okaloosa County, FL",12091.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,FL,Okaloosa County
598,"Orange County, FL",12095.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0,FL,Orange County
601,"Osceola County, FL",12097.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,FL,Osceola County
603,"Palm Beach County, FL",12099.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,175.0,FL,Palm Beach County
604,"Palm Beach County, FL",12099.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,24.0,FL,Palm Beach County
607,"Pasco County, FL",12101.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0,FL,Pasco County
608,"Pasco County, FL",12101.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,FL,Pasco County
611,"Pinellas County, FL",12103.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0,FL,Pinellas County
612,"Pinellas County, FL",12103.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0,FL,Pinellas County
615,"Polk County, FL",12105.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,FL,Polk County
621,"St. Lucie County, FL",12111.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,FL,St. Lucie County
624,"Santa Rosa County, FL",12113.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,FL,Santa Rosa County
626,"Sarasota County, FL",12115.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0,FL,Sarasota County
627,"Sarasota County, FL",12115.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,FL,Sarasota County
630,"Seminole County, FL",12117.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,FL,Seminole County
637,"Volusia County, FL",12127.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0,FL,Volusia County
654,"Bibb County, GA",13021.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,GA,Bibb County
673,"Cherokee County, GA",13057.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,GA,Cherokee County
677,"Clayton County, GA",13063.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,GA,Clayton County
680,"Cobb County, GA",13067.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,GA,Cobb County
693,"DeKalb County, GA",13089.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,GA,DeKalb County
694,"DeKalb County, GA",13089.0,2003,All other drug-induced causes,D9,14.0,GA,DeKalb County
712,"Fulton County, GA",13121.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,62.0,GA,Fulton County
713,"Fulton County, GA",13121.0,2003,All other drug-induced causes,D9,13.0,GA,Fulton County
722,"Gwinnett County, GA",13135.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,GA,Gwinnett County
763,"Muscogee County, GA",13215.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,GA,Muscogee County
779,"Richmond County, GA",13245.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,GA,Richmond County
782,"Rockdale County, GA",13247.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,GA,Rockdale County
822,"Hawaii County, HI",15001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,HI,Hawaii County
824,"Honolulu County, HI",15003.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0,HI,Honolulu County
825,"Honolulu County, HI",15003.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,15.0,HI,Honolulu County
830,"Ada County, ID",16001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,ID,Ada County
892,"Cook County, IL",17031.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,410.0,IL,Cook County
893,"Cook County, IL",17031.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,33.0,IL,Cook County
894,"Cook County, IL",17031.0,2003,All other drug-induced causes,D9,11.0,IL,Cook County
902,"DuPage County, IL",17043.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0,IL,DuPage County
932,"Lake County, IL",17097.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,IL,Lake County
933,"Lake County, IL",17097.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,IL,Lake County
942,"McHenry County, IL",17111.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,IL,McHenry County
945,"McLean County, IL",17113.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,IL,McLean County
949,"Madison County, IL",17119.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,IL,Madison County
992,"Will County, IL",17197.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,IL,Will County
996,"Winnebago County, IL",17201.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,IL,Winnebago County
1010,"Clark County, IN",18019.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,IN,Clark County
1019,"Delaware County, IN",18035.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,IN,Delaware County
1047,"Lake County, IN",18089.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,IN,Lake County
1048,"Lake County, IN",18089.0,2003,All other drug-induced causes,D9,18.0,IN,Lake County
1053,"Madison County, IN",18095.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,IN,Madison County
1055,"Marion County, IN",18097.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,53.0,IN,Marion County
1056,"Marion County, IN",18097.0,2003,All other drug-induced causes,D9,21.0,IN,Marion County
1092,"Vanderburgh County, IN",18163.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,IN,Vanderburgh County
1182,"Polk County, IA",19153.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,IA,Polk County
1254,"Johnson County, KS",20091.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,KS,Johnson County
1255,"Johnson County, KS",20091.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,KS,Johnson County
1298,"Sedgwick County, KS",20173.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,KS,Sedgwick County
1326,"Bell County, KY",21013.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,KY,Bell County
1328,"Boone County, KY",21015.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,KY,Boone County
1340,"Campbell County, KY",21037.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,KY,Campbell County
1357,"Fayette County, KY",21067.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,KY,Fayette County
1361,"Floyd County, KY",21071.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,KY,Floyd County
1374,"Harlan County, KY",21095.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,KY,Harlan County
1383,"Jefferson County, KY",21111.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,72.0,KY,Jefferson County
1384,"Jefferson County, KY",21111.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,KY,Jefferson County
1389,"Kenton County, KY",21117.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,KY,Kenton County
1390,"Kenton County, KY",21117.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,KY,Kenton County
1409,"Madison County, KY",21151.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,KY,Madison County
1431,"Perry County, KY",21193.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,KY,Perry County
1433,"Pike County, KY",21195.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,KY,Pike County
1450,"Warren County, KY",21227.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,KY,Warren County
1455,"Whitley County, KY",21235.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,KY,Whitley County
1459,"Acadia Parish, LA",22001.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,LA,Acadia Parish
1462,"Ascension Parish, LA",22005.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,LA,Ascension Parish
1468,"Bossier Parish, LA",22015.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,LA,Bossier Parish
1471,"Caddo Parish, LA",22017.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,LA,Caddo Parish
1474,"Calcasieu Parish, LA",22019.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,25.0,LA,Calcasieu Parish
1483,"East Baton Rouge Parish, LA",22033.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,LA,East Baton Rouge Parish
1494,"Jefferson Parish, LA",22051.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0,LA,Jefferson Parish
1498,"Lafayette Parish, LA",22055.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,LA,Lafayette Parish
1503,"Livingston Parish, LA",22063.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,LA,Livingston Parish
1508,"Orleans Parish, LA",22071.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,LA,Orleans Parish
1509,"Orleans Parish, LA",22071.0,2003,All other drug-induced causes,D9,49.0,LA,Orleans Parish
1520,"St. Bernard Parish, LA",22087.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,29.0,LA,St. Bernard Parish
1526,"St. Landry Parish, LA",22097.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,LA,St. Landry Parish
1530,"St. Tammany Parish, LA",22103.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0,LA,St. Tammany Parish
1535,"Terrebonne Parish, LA",22109.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,LA,Terrebonne Parish
1549,"Cumberland County, ME",23005.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,ME,Cumberland County
1558,"Penobscot County, ME",23019.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,ME,Penobscot County
1566,"York County, ME",23031.0,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,ME,York County
1569,"Allegany County, MD",24001.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0,MD,Allegany County
1571,"Anne Arundel County, MD",24003.0,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,41.0,MD,Anne Arundel County
1574,"Baltimore County, MD",24005.0,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,MD,Baltimore County
