Year,State_Code,County_Name,Deaths,Population,Median_Income_2010,_merge,bad_merge,indicator
2003,NJ,Bergen County,55.0,889739.0,81708.0,both,0,NJ-Bergen County
2003,NJ,Burlington County,26.0,442581.0,76258.0,both,0,NJ-Burlington County
2003,NJ,Camden County,49.0,510584.0,60976.0,both,0,NJ-Camden County
2003,NJ,Essex County,108.0,790601.0,55125.0,both,0,NJ-Essex County
2003,NJ,Hudson County,47.0,603469.0,55275.0,both,0,NJ-Hudson County
2003,NJ,Middlesex County,55.0,770336.0,77615.0,both,0,NJ-Middlesex County
2003,NJ,Monmouth County,52.0,636145.0,82265.0,both,0,NJ-Monmouth County
2003,NJ,Morris County,30.0,479532.0,96747.0,both,0,NJ-Morris County
2003,NJ,Ocean County,34.0,545479.0,59620.0,both,0,NJ-Ocean County
2003,NJ,Passaic County,28.0,492259.0,54944.0,both,0,NJ-Passaic County
2003,NJ,Union County,39.0,525048.0,66791.0,both,0,NJ-Union County
2003,NM,Bernalillo County,144.0,582986.0,47481.0,both,0,NM-Bernalillo County
2003,NV,Clark County,247.0,1572924.0,56258.0,both,0,NV-Clark County
2003,NV,Washoe County,59.0,371231.0,55658.0,both,0,NV-Washoe County
2003,NY,Bronx County,192.0,1353712.0,34264.0,both,0,NY-Bronx County
2003,NY,Kings County,249.0,2483164.0,43567.0,both,0,NY-Kings County
2003,NY,Nassau County,32.0,1353565.0,93613.0,both,0,NY-Nassau County
2003,NY,New York County,232.0,1578815.0,64971.0,both,0,NY-New York County
2003,NY,Onondaga County,10.0,457139.0,50676.0,both,0,NY-Onondaga County
2003,NY,Queens County,171.0,2244238.0,55291.0,both,0,NY-Queens County
2003,NY,Richmond County,26.0,466789.0,71084.0,both,0,NY-Richmond County
2003,NY,Suffolk County,22.0,1486783.0,84506.0,both,0,NY-Suffolk County
2003,NY,Westchester County,15.0,944440.0,79619.0,both,0,NY-Westchester County
2003,OH,Cuyahoga County,99.0,1355668.0,43603.0,both,0,OH-Cuyahoga County
2003,OH,Franklin County,74.0,1092518.0,49087.0,both,0,OH-Franklin County
2003,OH,Hamilton County,73.0,847484.0,48234.0,both,0,OH-Hamilton County
2003,OH,Lucas County,19.0,463174.0,42072.0,both,0,OH-Lucas County
2003,OH,Montgomery County,52.0,550494.0,43965.0,both,0,OH-Montgomery County
2003,OH,Summit County,48.0,545829.0,47926.0,both,0,OH-Summit County
2003,OK,Oklahoma County,75.0,676646.0,42916.0,both,0,OK-Oklahoma County
2003,OK,Tulsa County,100.0,569584.0,45613.0,both,0,OK-Tulsa County
2003,OR,Multnomah County,147.0,678549.0,49618.0,both,0,OR-Multnomah County
2003,OR,Washington County,17.0,478103.0,62574.0,both,0,OR-Washington County
2003,PA,Allegheny County,197.0,1257196.0,47961.0,both,0,PA-Allegheny County
2003,PA,Berks County,27.0,384547.0,53470.0,both,0,PA-Berks County
2003,PA,Bucks County,69.0,610131.0,74828.0,both,0,PA-Bucks County
2003,PA,Chester County,16.0,455877.0,84741.0,both,0,PA-Chester County
2003,PA,Delaware County,75.0,552355.0,61876.0,both,0,PA-Delaware County
2003,PA,Lancaster County,25.0,481803.0,54765.0,both,0,PA-Lancaster County
2003,PA,Montgomery County,67.0,768240.0,76380.0,both,0,PA-Montgomery County
2003,PA,Philadelphia County,297.0,1510068.0,36251.0,both,0,PA-Philadelphia County
2003,PA,York County,25.0,393622.0,57494.0,both,0,PA-York County
2003,RI,Providence County,81.0,636454.0,48500.0,both,0,RI-Providence County
2003,SC,Greenville County,32.0,395325.0,46830.0,both,0,SC-Greenville County
2003,TN,Davidson County,72.0,588126.0,45668.0,both,0,TN-Davidson County
2003,TN,Knox County,74.0,399091.0,46759.0,both,0,TN-Knox County
2003,TN,Shelby County,37.0,906280.0,44705.0,both,0,TN-Shelby County
2003,TX,Bexar County,163.0,1462052.0,47048.0,both,0,TX-Bexar County
2003,TX,Collin County,26.0,596599.0,80504.0,both,0,TX-Collin County
2003,TX,Dallas County,199.0,2287070.0,47974.0,both,0,TX-Dallas County
2003,TX,Denton County,18.0,512229.0,70622.0,both,0,TX-Denton County
2003,TX,El Paso County,52.0,694672.0,36333.0,both,0,TX-El Paso County
2003,TX,Fort Bend County,11.0,416208.0,79845.0,both,0,TX-Fort Bend County
2003,TX,Harris County,337.0,3615199.0,51444.0,both,0,TX-Harris County
2003,TX,Montgomery County,57.0,341928.0,65620.0,both,0,TX-Montgomery County
2003,TX,Tarrant County,151.0,1552186.0,55306.0,both,0,TX-Tarrant County
2003,TX,Travis County,89.0,862463.0,54074.0,both,0,TX-Travis County
2003,TX,Williamson County,11.0,302458.0,68780.0,both,0,TX-Williamson County
2003,UT,Salt Lake County,164.0,936378.0,58004.0,both,0,UT-Salt Lake County
2003,UT,Utah County,56.0,409465.0,56927.0,both,0,UT-Utah County
2003,VA,Fairfax County,28.0,992494.0,105416.0,both,0,VA-Fairfax County
2003,VA,Virginia Beach city,19.0,435796.0,,both,0,VA-Virginia Beach city
2003,WA,Clark County,40.0,377233.0,58262.0,both,0,WA-Clark County
2003,WA,King County,205.0,1769753.0,68065.0,both,0,WA-King County
2003,WA,Pierce County,87.0,736260.0,57869.0,both,0,WA-Pierce County
2003,WA,Snohomish County,76.0,632925.0,66300.0,both,0,WA-Snohomish County
2003,WA,Spokane County,74.0,430867.0,47250.0,both,0,WA-Spokane County
2003,WI,Dane County,24.0,449644.0,60519.0,both,0,WI-Dane County
2003,WI,Milwaukee County,154.0,951073.0,43215.0,both,0,WI-Milwaukee County
2004,AL,Jefferson County,63.0,660016.0,45244.0,both,0,AL-Jefferson County
2004,AL,Mobile County,27.0,397521.0,40996.0,both,0,AL-Mobile County
2004,AZ,Maricopa County,450.0,3502635.0,55054.0,both,0,AZ-Maricopa County
2004,AZ,Pima County,165.0,924205.0,45521.0,both,0,AZ-Pima County
2004,CA,Alameda County,154.0,1441781.0,69384.0,both,0,CA-Alameda County
2004,CA,Contra Costa County,102.0,992747.0,78385.0,both,0,CA-Contra Costa County
2004,CA,Fresno County,96.0,857162.0,46430.0,both,0,CA-Fresno County
2004,CA,Kern County,104.0,726029.0,47089.0,both,0,CA-Kern County
2004,CA,Los Angeles County,815.0,9808494.0,55476.0,both,0,CA-Los Angeles County
2004,CA,Monterey County,43.0,408867.0,59271.0,both,0,CA-Monterey County
2004,CA,Orange County,256.0,2956096.0,74344.0,both,0,CA-Orange County
2004,CA,Riverside County,187.0,1845631.0,57768.0,both,0,CA-Riverside County
2004,CA,Sacramento County,200.0,1344279.0,56439.0,both,0,CA-Sacramento County
2004,CA,San Bernardino County,200.0,1899689.0,55845.0,both,0,CA-San Bernardino County
2004,CA,San Diego County,314.0,2935672.0,63069.0,both,0,CA-San Diego County
2004,CA,San Francisco County,128.0,773284.0,71304.0,both,0,CA-San Francisco County
2004,CA,San Joaquin County,85.0,640964.0,54341.0,both,0,CA-San Joaquin County
2004,CA,San Mateo County,44.0,692033.0,85648.0,both,0,CA-San Mateo County
2004,CA,Santa Barbara County,27.0,401130.0,60078.0,both,0,CA-Santa Barbara County
2004,CA,Santa Clara County,110.0,1668984.0,86850.0,both,0,CA-Santa Clara County
2004,CA,Solano County,18.0,408346.0,68409.0,both,0,CA-Solano County
2004,CA,Sonoma County,48.0,463211.0,63274.0,both,0,CA-Sonoma County
2004,CA,Stanislaus County,88.0,491558.0,51094.0,both,0,CA-Stanislaus County
2004,CA,Tulare County,39.0,394996.0,43851.0,both,0,CA-Tulare County
2004,CA,Ventura County,55.0,787749.0,75348.0,both,0,CA-Ventura County
2004,CO,Adams County,46.0,386663.0,54666.0,both,0,CO-Adams County
2004,CO,Arapahoe County,65.0,519785.0,58719.0,both,0,CO-Arapahoe County
2004,CO,Denver County,111.0,558506.0,45501.0,both,0,CO-Denver County
2004,CO,El Paso County,60.0,558680.0,56268.0,both,0,CO-El Paso County
2004,CO,Jefferson County,40.0,522889.0,66075.0,both,0,CO-Jefferson County
2004,CT,Fairfield County,51.0,892291.0,81268.0,both,0,CT-Fairfield County
2004,CT,Hartford County,83.0,868109.0,62590.0,both,0,CT-Hartford County
2004,CT,New Haven County,87.0,838429.0,61114.0,both,0,CT-New Haven County
2004,DE,New Castle County,67.0,516887.0,62474.0,both,0,DE-New Castle County
2004,FL,Brevard County,111.0,515890.0,49523.0,both,0,FL-Brevard County
2004,FL,Broward County,287.0,1741272.0,51694.0,both,0,FL-Broward County
2004,FL,Duval County,109.0,821644.0,49463.0,both,0,FL-Duval County
2004,FL,Hillsborough County,146.0,1099688.0,49536.0,both,0,FL-Hillsborough County
2004,FL,Lee County,98.0,512180.0,50014.0,both,0,FL-Lee County
2004,FL,Miami-Dade County,145.0,2381215.0,43605.0,both,0,FL-Miami-Dade County
2004,FL,Orange County,97.0,993478.0,50138.0,both,0,FL-Orange County
2004,FL,Palm Beach County,209.0,1240191.0,53242.0,both,0,FL-Palm Beach County
2004,FL,Pasco County,83.0,404697.0,44228.0,both,0,FL-Pasco County
2004,FL,Pinellas County,182.0,924605.0,45258.0,both,0,FL-Pinellas County
2004,FL,Polk County,62.0,521029.0,43946.0,both,0,FL-Polk County
2004,FL,Seminole County,23.0,392099.0,58971.0,both,0,FL-Seminole County
2004,FL,Volusia County,74.0,476695.0,44400.0,both,0,FL-Volusia County
2004,GA,Cobb County,44.0,652358.0,65522.0,both,0,GA-Cobb County
2004,GA,DeKalb County,25.0,704512.0,51349.0,both,0,GA-DeKalb County
2004,GA,Fulton County,78.0,905802.0,56709.0,both,0,GA-Fulton County
2004,GA,Gwinnett County,21.0,691986.0,63219.0,both,0,GA-Gwinnett County
2004,HI,Honolulu County,89.0,894406.0,70093.0,both,0,HI-Honolulu County
2004,IA,Polk County,14.0,393899.0,56094.0,both,0,IA-Polk County
2004,IL,Cook County,512.0,5302421.0,53942.0,both,0,IL-Cook County
2004,IL,DuPage County,44.0,922962.0,76581.0,both,0,IL-DuPage County
2004,IL,Kane County,19.0,466937.0,67767.0,both,0,IL-Kane County
2004,IL,Lake County,45.0,684394.0,78948.0,both,0,IL-Lake County
2004,IL,Will County,37.0,608245.0,75906.0,both,0,IL-Will County
2004,IN,Lake County,31.0,485994.0,48723.0,both,0,IN-Lake County
2004,IN,Marion County,96.0,866945.0,43541.0,both,0,IN-Marion County
2004,KS,Johnson County,25.0,496358.0,73733.0,both,0,KS-Johnson County
2004,KS,Sedgwick County,50.0,461872.0,47848.0,both,0,KS-Sedgwick County
2004,KY,Jefferson County,70.0,699639.0,45352.0,both,0,KY-Jefferson County
2004,LA,East Baton Rouge Parish,17.0,412772.0,46179.0,both,0,LA-East Baton Rouge Parish
2004,LA,Jefferson Parish,88.0,452678.0,48175.0,both,0,LA-Jefferson Parish
2004,MA,Bristol County,94.0,545460.0,54955.0,both,0,MA-Bristol County
2004,MA,Essex County,80.0,730901.0,64153.0,both,0,MA-Essex County
2004,MA,Hampden County,33.0,464622.0,47724.0,both,0,MA-Hampden County
2004,MA,Middlesex County,113.0,1467576.0,77377.0,both,0,MA-Middlesex County
2004,MA,Norfolk County,47.0,652283.0,81027.0,both,0,MA-Norfolk County
2004,MA,Plymouth County,28.0,486640.0,73131.0,both,0,MA-Plymouth County
2004,MA,Suffolk County,94.0,710282.0,50597.0,both,0,MA-Suffolk County
2004,MA,Worcester County,36.0,782748.0,64152.0,both,0,MA-Worcester County
2004,MD,Anne Arundel County,53.0,508722.0,83456.0,both,0,MD-Anne Arundel County
2004,MD,Baltimore County,104.0,779301.0,63959.0,both,0,MD-Baltimore County
2004,MD,Baltimore city,247.0,641004.0,,both,0,MD-Baltimore city
2004,MD,Montgomery County,29.0,920965.0,93373.0,both,0,MD-Montgomery County
2004,MD,Prince George's County,54.0,836103.0,71260.0,both,0,MD-Prince George's County
2004,MI,Genesee County,68.0,439880.0,43483.0,both,0,MI-Genesee County
2004,MI,Kent County,34.0,591861.0,49532.0,both,0,MI-Kent County
2004,MI,Macomb County,109.0,820015.0,53996.0,both,0,MI-Macomb County
2004,MI,Oakland County,121.0,1204375.0,66390.0,both,0,MI-Oakland County
2004,MI,Wayne County,386.0,2037048.0,42241.0,both,0,MI-Wayne County
2004,MN,Hennepin County,67.0,1122694.0,61328.0,both,0,MN-Hennepin County
2004,MN,Ramsey County,29.0,500781.0,51915.0,both,0,MN-Ramsey County
2004,MO,Jackson County,67.0,671389.0,46252.0,both,0,MO-Jackson County
2004,MO,St. Louis County,79.0,1004271.0,57561.0,both,0,MO-St. Louis County
2004,NC,Guilford County,33.0,438384.0,45676.0,both,0,NC-Guilford County
2004,NC,Mecklenburg County,40.0,774432.0,55294.0,both,0,NC-Mecklenburg County
2004,NC,Wake County,27.0,723095.0,63770.0,both,0,NC-Wake County
2004,NE,Douglas County,13.0,481196.0,51878.0,both,0,NE-Douglas County
2004,NH,Hillsborough County,28.0,396542.0,69321.0,both,0,NH-Hillsborough County
2004,NJ,Bergen County,43.0,890232.0,81708.0,both,0,NJ-Bergen County
2004,NJ,Burlington County,27.0,446041.0,76258.0,both,0,NJ-Burlington County
2004,NJ,Camden County,62.0,512710.0,60976.0,both,0,NJ-Camden County
2004,NJ,Essex County,81.0,785389.0,55125.0,both,0,NJ-Essex County
2004,NJ,Hudson County,48.0,599929.0,55275.0,both,0,NJ-Hudson County
2004,NJ,Middlesex County,30.0,774209.0,77615.0,both,0,NJ-Middlesex County
2004,NJ,Monmouth County,29.0,639987.0,82265.0,both,0,NJ-Monmouth County
2004,NJ,Morris County,18.0,482155.0,96747.0,both,0,NJ-Morris County
2004,NJ,Ocean County,28.0,551798.0,59620.0,both,0,NJ-Ocean County
2004,NJ,Passaic County,33.0,490527.0,54944.0,both,0,NJ-Passaic County
2004,NJ,Union County,34.0,523635.0,66791.0,both,0,NJ-Union County
2004,NM,Bernalillo County,128.0,594644.0,47481.0,both,0,NM-Bernalillo County
2004,NV,Clark County,292.0,1646875.0,56258.0,both,0,NV-Clark County
2004,NV,Washoe County,45.0,381377.0,55658.0,both,0,NV-Washoe County
2004,NY,Bronx County,175.0,1359139.0,34264.0,both,0,NY-Bronx County
2004,NY,Kings County,262.0,2497859.0,43567.0,both,0,NY-Kings County
2004,NY,Monroe County,11.0,735691.0,51303.0,both,0,NY-Monroe County
2004,NY,Nassau County,26.0,1356589.0,93613.0,both,0,NY-Nassau County
2004,NY,New York County,176.0,1590911.0,64971.0,both,0,NY-New York County
2004,NY,Queens County,133.0,2250718.0,55291.0,both,0,NY-Queens County
2004,NY,Richmond County,45.0,471313.0,71084.0,both,0,NY-Richmond County
2004,NY,Suffolk County,12.0,1499838.0,84506.0,both,0,NY-Suffolk County
2004,OH,Cuyahoga County,146.0,1341479.0,43603.0,both,0,OH-Cuyahoga County
2004,OH,Franklin County,106.0,1096256.0,49087.0,both,0,OH-Franklin County
2004,OH,Hamilton County,92.0,846707.0,48234.0,both,0,OH-Hamilton County
2004,OH,Lucas County,33.0,463726.0,42072.0,both,0,OH-Lucas County
2004,OH,Montgomery County,137.0,548002.0,43965.0,both,0,OH-Montgomery County
2004,OH,Summit County,59.0,545774.0,47926.0,both,0,OH-Summit County
2004,OK,Oklahoma County,99.0,679913.0,42916.0,both,0,OK-Oklahoma County
2004,OK,Tulsa County,99.0,567695.0,45613.0,both,0,OK-Tulsa County
2004,OR,Multnomah County,146.0,671704.0,49618.0,both,0,OR-Multnomah County
2004,OR,Washington County,18.0,485249.0,62574.0,both,0,OR-Washington County
2004,PA,Allegheny County,195.0,1245875.0,47961.0,both,0,PA-Allegheny County
2004,PA,Berks County,22.0,389177.0,53470.0,both,0,PA-Berks County
2004,PA,Bucks County,65.0,613691.0,74828.0,both,0,PA-Bucks County
2004,PA,Chester County,29.0,463900.0,84741.0,both,0,PA-Chester County
2004,PA,Delaware County,75.0,551681.0,61876.0,both,0,PA-Delaware County
2004,PA,Lancaster County,34.0,485676.0,54765.0,both,0,PA-Lancaster County
2004,PA,Montgomery County,77.0,770700.0,76380.0,both,0,PA-Montgomery County
2004,PA,Philadelphia County,334.0,1514658.0,36251.0,both,0,PA-Philadelphia County
2004,PA,York County,31.0,399490.0,57494.0,both,0,PA-York County
2004,RI,Providence County,62.0,636721.0,48500.0,both,0,RI-Providence County
2004,SC,Greenville County,28.0,400858.0,46830.0,both,0,SC-Greenville County
2004,TN,Davidson County,81.0,596961.0,45668.0,both,0,TN-Davidson County
2004,TN,Knox County,85.0,403432.0,46759.0,both,0,TN-Knox County
2004,TN,Shelby County,57.0,908922.0,44705.0,both,0,TN-Shelby County
2004,TX,Bexar County,168.0,1487463.0,47048.0,both,0,TX-Bexar County
2004,TX,Collin County,40.0,627748.0,80504.0,both,0,TX-Collin County
2004,TX,Dallas County,198.0,2297435.0,47974.0,both,0,TX-Dallas County
2004,TX,Denton County,18.0,533323.0,70622.0,both,0,TX-Denton County
2004,TX,El Paso County,26.0,702433.0,36333.0,both,0,TX-El Paso County
2004,TX,Harris County,385.0,3670543.0,51444.0,both,0,TX-Harris County
2004,TX,Hidalgo County,11.0,646523.0,31879.0,both,0,TX-Hidalgo County
2004,TX,Montgomery County,28.0,358333.0,65620.0,both,0,TX-Montgomery County
2004,TX,Tarrant County,121.0,1580347.0,55306.0,both,0,TX-Tarrant County
2004,TX,Travis County,91.0,878877.0,54074.0,both,0,TX-Travis County
2004,TX,Williamson County,12.0,316123.0,68780.0,both,0,TX-Williamson County
2004,UT,Salt Lake County,191.0,948223.0,58004.0,both,0,UT-Salt Lake County
2004,UT,Utah County,48.0,434114.0,56927.0,both,0,UT-Utah County
2004,VA,Fairfax County,17.0,996798.0,105416.0,both,0,VA-Fairfax County
2004,VA,Virginia Beach city,25.0,439048.0,,both,0,VA-Virginia Beach city
2004,WA,Clark County,27.0,389151.0,58262.0,both,0,WA-Clark County
2004,WA,King County,245.0,1782942.0,68065.0,both,0,WA-King County
2004,WA,Pierce County,72.0,741321.0,57869.0,both,0,WA-Pierce County
2004,WA,Snohomish County,100.0,639440.0,66300.0,both,0,WA-Snohomish County
2004,WA,Spokane County,78.0,435011.0,47250.0,both,0,WA-Spokane County
2004,WI,Dane County,39.0,456058.0,60519.0,both,0,WI-Dane County
2004,WI,Milwaukee County,171.0,952274.0,43215.0,both,0,WI-Milwaukee County
2005,AL,Jefferson County,59.0,659715.0,45244.0,both,0,AL-Jefferson County
2005,AL,Mobile County,22.0,398369.0,40996.0,both,0,AL-Mobile County
2005,AZ,Maricopa County,505.0,3647131.0,55054.0,both,0,AZ-Maricopa County
2005,AZ,Pima County,173.0,948965.0,45521.0,both,0,AZ-Pima County
2005,CA,Alameda County,172.0,1436453.0,69384.0,both,0,CA-Alameda County
2005,CA,Contra Costa County,103.0,999271.0,78385.0,both,0,CA-Contra Costa County
2005,CA,Fresno County,95.0,867438.0,46430.0,both,0,CA-Fresno County
2005,CA,Kern County,84.0,747315.0,47089.0,both,0,CA-Kern County
2005,CA,Los Angeles County,790.0,9803912.0,55476.0,both,0,CA-Los Angeles County
2005,CA,Monterey County,40.0,405090.0,59271.0,both,0,CA-Monterey County
2005,CA,Orange County,257.0,2957263.0,74344.0,both,0,CA-Orange County
2005,CA,Riverside County,188.0,1917401.0,57768.0,both,0,CA-Riverside County
2005,CA,Sacramento County,256.0,1354695.0,56439.0,both,0,CA-Sacramento County
2005,CA,San Bernardino County,232.0,1943934.0,55845.0,both,0,CA-San Bernardino County
2005,CA,San Diego County,317.0,2941770.0,63069.0,both,0,CA-San Diego County
2005,CA,San Francisco County,174.0,777660.0,71304.0,both,0,CA-San Francisco County
2005,CA,San Joaquin County,69.0,654451.0,54341.0,both,0,CA-San Joaquin County
2005,CA,San Mateo County,53.0,692199.0,85648.0,both,0,CA-San Mateo County
2005,CA,Santa Barbara County,30.0,400256.0,60078.0,both,0,CA-Santa Barbara County
2005,CA,Santa Clara County,100.0,1682383.0,86850.0,both,0,CA-Santa Clara County
2005,CA,Solano County,30.0,406605.0,68409.0,both,0,CA-Solano County
2005,CA,Sonoma County,51.0,461359.0,63274.0,both,0,CA-Sonoma County
2005,CA,Stanislaus County,67.0,498592.0,51094.0,both,0,CA-Stanislaus County
2005,CA,Tulare County,33.0,403653.0,43851.0,both,0,CA-Tulare County
2005,CA,Ventura County,67.0,786058.0,75348.0,both,0,CA-Ventura County
2005,CO,Adams County,63.0,397463.0,54666.0,both,0,CO-Adams County
2005,CO,Arapahoe County,54.0,525293.0,58719.0,both,0,CO-Arapahoe County
2005,CO,Denver County,140.0,561323.0,45501.0,both,0,CO-Denver County
